"","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,0,0,3,3,0,1,2
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7b-3p",0,0,0,0,0,1,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",1836,113,534,51,153,383,83,59,217
"hsa-let-7e-5p",146,71,130,55,41,113,109,64,129
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",93,29,44,67,41,227,74,32,61
"hsa-let-7f-5p",0,0,0,0,0,0,0,2,0
"hsa-let-7g-3p",0,0,0,0,0,0,0,1,0
"hsa-let-7g-5p",0,0,0,4,2,0,0,0,0
"hsa-let-7i-3p",27,5,17,12,8,12,21,11,9
"hsa-let-7i-5p",10,5,1,3,2,2,6,2,3
"hsa-miR-1-3p",48,15,21,21,16,70,34,25,31
"hsa-miR-1-5p",112,33,72,73,39,61,61,48,60
"hsa-miR-100-3p",103,43,61,64,41,31,82,23,52
"hsa-miR-100-5p",43,16,61,14,10,25,22,6,9
"hsa-miR-101-2-5p",0,0,0,1,0,0,0,0,0
"hsa-miR-101-3p",224,33,45,213,62,154,69,54,105
"hsa-miR-101-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10226",0,0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0
