"","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,2,0,0
"hsa-let-7c-3p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",297,321,421,274,224,478,210,167,1059,1022,342,203
"hsa-let-7e-5p",102,84,104,93,312,728,418,262,215,222,65,55
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",526,448,523,411,498,862,873,654,281,307,438,334
"hsa-let-7f-5p",0,0,0,0,0,0,1,0,0,0,0,0
"hsa-let-7g-3p",0,0,0,0,0,0,0,0,1,4,0,0
"hsa-let-7g-5p",0,0,0,0,0,0,0,0,0,0,2,0
"hsa-let-7i-3p",42,45,80,51,58,143,78,48,271,311,92,64
"hsa-let-7i-5p",4,7,3,3,6,13,6,4,2,6,5,1
"hsa-miR-1-3p",180,150,191,141,222,368,287,187,86,68,158,95
"hsa-miR-1-5p",28,31,40,33,81,121,86,48,119,110,42,22
"hsa-miR-100-3p",53,64,71,65,245,308,182,95,151,186,54,45
"hsa-miR-100-5p",51,62,130,80,78,160,89,62,717,1040,200,152
"hsa-miR-101-2-5p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-101-3p",5668,6251,9686,7921,5178,4011,2514,1874,16451,8438,7001,5637
"hsa-miR-101-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10226",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10393-5p",0,1,2,1,0,1,0,0,3,3,3,0
"hsa-miR-10394-3p",1,0,1,0,0,0,0,0,2,5,1,0
"hsa-miR-10394-5p",0,1,0,0,0,0,0,0,1,0,0,0
"hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10395-5p",0,0,0,1,0,0,0,0,0,0,0,0
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-3p",0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10397-5p",1,0,0,0,1,1,0,1,1,0,0,0
"hsa-miR-10398-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10398-5p",48,49,71,60,176,198,118,79,160,219,70,60
"hsa-miR-10399-3p",0,1,0,0,0,1,1,0,0,0,0,0
"hsa-miR-10399-5p",3,4,4,7,2,12,8,1,3,0,1,2
"hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-2-5p",14,12,17,13,40,63,32,31,28,12,4,10
"hsa-miR-103a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10400-3p",0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-10401-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10401-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-5p",0,0,0,0,0,1,0,1,0,0,0,0
"hsa-miR-10522-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-10523-5p",1,1,4,0,1,1,1,0,0,0,0,1
"hsa-miR-10524-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10525-3p",0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-10526-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a-3p",0,0,0,0,0,0,1,0,1,3,0,0
"hsa-miR-106a-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-107",51,43,90,49,52,69,76,40,16,22,11,22
"hsa-miR-10a-3p",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-10a-5p",0,0,0,0,0,0,1,1,0,0,0,0
"hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11181-3p",1,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-11181-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11399",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-11400",0,0,0,0,0,2,1,0,0,0,0,0
"hsa-miR-11401",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178-3p",43,28,55,39,101,161,108,78,161,190,59,58
"hsa-miR-1178-5p",9,9,11,17,42,52,42,27,26,22,9,9
"hsa-miR-1179",0,1,0,0,0,0,0,0,0,1,0,0
"hsa-miR-1180-3p",7,11,23,18,12,31,24,7,271,341,56,47
"hsa-miR-1180-5p",0,1,1,0,2,1,2,1,13,11,3,2
"hsa-miR-1181",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,1,0,0,0,2,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-2-3p",0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-1185-5p",0,1,1,0,1,2,1,1,1,0,0,0
"hsa-miR-1193",0,0,0,0,0,0,0,0,0,1,1,0
"hsa-miR-1197",0,0,0,0,2,0,1,0,0,0,1,0
"hsa-miR-1199-3p",0,0,1,0,2,1,0,1,0,0,0,0
"hsa-miR-1199-5p",0,1,0,0,1,1,0,1,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1203",1,0,0,0,1,1,1,3,0,0,0,0
"hsa-miR-1204",2,0,3,1,1,8,5,1,12,20,3,3
"hsa-miR-1205",18,14,34,16,31,40,23,18,80,102,34,18
"hsa-miR-1206",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12113",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12114",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12115",70,67,103,80,215,366,240,137,508,566,160,130
"hsa-miR-12116",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12117",0,0,0,0,1,0,0,0,1,0,1,0
"hsa-miR-12118",0,1,0,0,0,0,0,0,0,0,1,0
"hsa-miR-12119",104,71,94,71,30,66,81,83,691,1296,254,283
"hsa-miR-12120",1,0,0,0,0,0,1,0,2,10,3,1
"hsa-miR-12121",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12122",143,91,179,162,224,335,224,172,383,404,138,88
"hsa-miR-12123",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12124",4,2,5,5,3,2,3,0,2,1,0,0
"hsa-miR-12125",24,23,26,19,47,81,58,38,107,100,43,22
"hsa-miR-12126",1,1,0,0,0,7,0,0,1,0,1,1
"hsa-miR-12127",0,0,2,0,1,2,0,0,2,0,0,0
"hsa-miR-12128",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-12129",89,74,126,112,203,333,270,172,355,434,134,117
"hsa-miR-12130",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12131",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12132",0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-12133",1,2,4,1,0,1,0,1,0,1,0,0
"hsa-miR-12135",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-12136",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1224-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1225-3p",0,0,0,0,1,0,0,1,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1226-3p",61,47,106,63,162,315,168,106,395,419,153,126
"hsa-miR-1226-5p",34,29,37,33,162,266,145,95,74,57,15,14
"hsa-miR-1227-3p",8,13,4,5,2,7,8,4,1,1,5,1
"hsa-miR-1227-5p",0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-1228-3p",15,18,41,32,32,63,48,37,76,104,31,25
"hsa-miR-1228-5p",32,43,47,34,102,149,89,64,86,90,28,22
"hsa-miR-1229-3p",0,0,0,0,0,0,0,0,1,0,1,0
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-122b-3p",0,0,0,0,0,0,0,0,0,0,0,0
