"","gene_id","SRR8733171.count","SRR8733183.count","SRR8733192.count","SRR8733197.count","SRR8733198.count","SRR8733200.count","SRR8733205.count","SRR8733221.count","SRR8733230.count","SRR8733232.count","SRR8733237.count","SRR8733238.count","SRR8733255.count","SRR8733265.count","SRR8733266.count","SRR8733270.count","SRR8733275.count","SRR8733278.count","SRR8733291.count","SRR8733302.count","SRR8733313.count","SRR8733317.count","SRR8733319.count","SRR8733328.count","SRR8733334.count","SRR8733337.count","SRR8733340.count","SRR8733345.count","SRR8733359.count","SRR8733371.count","SRR8733374.count"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",7,0,0,5,3,3,1,4,10,1,9,8,3,3,12,0,7,4,2,0,2,4,4,3,1,0,3,5,3,0,0
"3","hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
"4","hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7","hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7d-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","hsa-let-7e-3p",40,7,9,8,6,80,38,1,0,0,105,16,13,33,16,6,8,24,4,90,33,44,67,25,0,319,25,12,113,82,14
"11","hsa-let-7e-5p",75,5,8,28,13,26,42,16,58,52,60,8,39,66,29,33,31,30,9,67,35,20,124,36,10,21,25,65,37,48,15
"12","hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","hsa-let-7f-2-3p",55,9,7,3,11,37,16,18,27,25,45,14,12,81,40,14,9,20,1,45,26,12,142,97,4,38,10,18,72,45,8
"14","hsa-let-7f-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","hsa-let-7g-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"16","hsa-let-7g-5p",2,0,0,10,2,4,1,0,0,0,11,3,3,1,7,5,2,0,3,0,0,14,2,2,0,2,1,1,0,4,0
"17","hsa-let-7i-3p",4,0,2,1,2,2,2,2,2,3,2,1,1,3,1,2,3,1,1,0,0,5,30,0,1,5,3,1,0,3,3
"18","hsa-let-7i-5p",0,0,0,0,0,2,0,1,0,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0
"19","hsa-miR-1-3p",13,2,2,0,3,8,3,4,3,5,19,2,2,12,6,3,1,2,2,5,4,5,21,14,1,2,2,3,8,8,0
"20","hsa-miR-1-5p",8,6,5,2,0,7,4,11,88,14,9,0,3,20,7,17,8,19,9,1,64,1,17,7,1,3,11,8,0,10,9
"21","hsa-miR-100-3p",26,3,3,11,4,15,8,27,21,17,34,16,12,33,5,19,16,1,6,42,46,5,69,15,2,17,7,15,42,26,10
"22","hsa-miR-100-5p",2,1,4,5,0,5,1,0,7,2,9,2,2,5,1,2,3,2,6,11,4,2,19,8,0,2,2,4,4,1,3
"23","hsa-miR-101-2-5p",0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"24","hsa-miR-101-3p",51718,6489,6301,6503,3927,13684,43178,19715,22291,26728,31787,7081,12860,59332,10021,15106,7706,9003,1039,39555,27925,13204,102339,8588,1110,5729,4762,27642,12281,27819,4816
"25","hsa-miR-101-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26","hsa-miR-10226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","hsa-miR-10393-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","hsa-miR-10394-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"32","hsa-miR-10394-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","hsa-miR-10395-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","hsa-miR-10396b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","hsa-miR-10397-3p",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"40","hsa-miR-10397-5p",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","hsa-miR-10398-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","hsa-miR-10398-5p",18,3,1,7,4,7,8,20,16,14,16,9,7,4,1,11,12,2,6,31,34,5,36,7,2,20,6,10,9,12,9
"43","hsa-miR-10399-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","hsa-miR-10399-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","hsa-miR-103a-2-5p",9,1,2,6,1,2,10,15,5,11,8,0,1,33,2,4,6,0,0,0,9,3,31,5,0,0,2,4,4,8,2
"47","hsa-miR-103a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","hsa-miR-103b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","hsa-miR-10400-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","hsa-miR-10400-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"51","hsa-miR-10401-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","hsa-miR-10401-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"54","hsa-miR-105-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","hsa-miR-10522-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","hsa-miR-10523-5p",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1
"57","hsa-miR-10524-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","hsa-miR-10525-3p",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"59","hsa-miR-10526-3p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","hsa-miR-106a-3p",0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"62","hsa-miR-106a-5p",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"63","hsa-miR-106b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","hsa-miR-106b-5p",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","hsa-miR-107",3,0,1,0,0,3,0,2,0,0,1,1,0,4,0,0,0,1,1,0,0,1,1,6,2,2,1,0,2,5,1
"66","hsa-miR-10a-3p",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","hsa-miR-10a-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"68","hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","hsa-miR-10b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","hsa-miR-11181-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","hsa-miR-11181-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","hsa-miR-11399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","hsa-miR-11400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","hsa-miR-11401",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"75","hsa-miR-1178-3p",73,11,16,11,2,21,18,15,39,46,58,6,17,106,14,34,23,12,6,95,95,10,280,24,4,22,12,30,61,43,8
"76","hsa-miR-1178-5p",4,5,1,1,0,6,3,9,76,11,5,0,1,11,7,18,13,16,5,0,67,0,7,2,0,0,7,4,0,1,7
"77","hsa-miR-1179",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"78","hsa-miR-1180-3p",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"79","hsa-miR-1180-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"80","hsa-miR-1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","hsa-miR-1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"82","hsa-miR-1183",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"83","hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"85","hsa-miR-1185-2-3p",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
