"","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,0,0,208.217656857302,90.8512764604343,0,84.2034355001684,98.135426889107
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7b-3p",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",30001.4706603265,7277.64539189798,15708.6544684356,2980.71303331385,10619.1004997224,11598.6796281154,4063.24962060019,4968.00269450994,10647.6938174681
"hsa-let-7e-5p",2385.73786296714,4572.6798480067,3824.204271342,3214.49444769141,2845.64131038312,3422.06474667636,5336.07480295687,5389.01987201078,6329.7350343474
"hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",1519.68233736948,1867.71430411541,1294.3460610696,3915.83869082408,2845.64131038312,6874.41325217286,3622.65628824595,2694.50993600539,2993.13052011776
"hsa-let-7f-5p",0,0,0,0,0,0,0,168.406871000337,0
"hsa-let-7g-3p",0,0,0,0,0,0,0,84.2034355001684,0
"hsa-let-7g-5p",0,0,0,233.781414377557,138.811771238201,0,0,0,0
"hsa-let-7i-3p",441.198097945978,322.019707606105,500.0882508678,701.344243132671,555.247084952804,363.405105841737,1028.05110882655,926.237790501852,441.609421000981
"hsa-let-7i-5p",163.406702942955,322.019707606105,29.4169559334,175.336060783168,138.811771238201,60.5675176402895,293.728888236158,168.406871000337,147.20314033366
"hsa-miR-1-3p",784.352174126183,966.059122818316,617.7560746014,1227.35242548217,1110.49416990561,2119.86311741013,1664.4637000049,2105.08588750421,1521.09911678116
"hsa-miR-1-5p",1830.15507296109,2125.3300702003,2118.0208272048,4266.51081239041,2706.82953914492,1847.30928802883,2986.24369706761,4041.76490400808,2944.06280667321
"hsa-miR-100-3p",1683.08904031243,2769.36948541251,1794.4343119374,3740.50263004091,2845.64131038312,938.796523424488,4014.29480589416,1936.67901650387,2551.52109911678
"hsa-miR-100-5p",702.648822654705,1030.46306433954,1794.4343119374,818.234950321449,694.058856191005,757.093970503619,1077.00592353258,505.22061300101,441.609421000981
"hsa-miR-101-2-5p",0,0,0,58.4453535943892,0,0,0,0,0
"hsa-miR-101-3p",3660.31014592219,2125.3300702003,1323.763017003,12448.8603156049,4303.16490838423,4663.69885830229,3377.88221471582,4546.98551700909,5152.10991167812
"hsa-miR-101-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10226",0,0,0,0,0,0,0,0,0
"hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10393-5p",32.6813405885909,0,0,0,0,60.5675176402895,0,0,0
"hsa-miR-10394-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10394-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10395-5p",0,0,0,0,0,30.2837588201448,0,0,0
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10396b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-10397-3p",0,0,0,0,0,0,0,0,49.0677134445535
"hsa-miR-10397-5p",0,0,0,58.4453535943892,0,0,0,0,0
"hsa-miR-10398-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10398-5p",1372.61630472082,2576.15766084884,1323.763017003,2746.93161893629,2151.58245419212,1090.21531752521,3084.15332647966,1599.8652745032,1717.36997055937
"hsa-miR-10399-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-10399-5p",81.7033514714774,257.615766084884,382.4204271342,467.562828755114,208.217656857302,30.2837588201448,0,0,147.20314033366
"hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0,0
