"","SRR11548461.count","SRR11548462.count","SRR11548463.count","SRR11548464.count"
"hsa-let-7a-2-3p",0,0,0,0
"hsa-let-7a-3p",0,0,0,0
"hsa-let-7a-5p",5.65761260063478,0,0,0
"hsa-let-7b-3p",0,0,6.89127633328969,0
"hsa-let-7b-5p",0,0,0,0
"hsa-let-7c-3p",0,0,6.89127633328969,0
"hsa-let-7c-5p",0,0,0,0
"hsa-let-7d-3p",11.3152252012696,0,0,0
"hsa-let-7d-5p",0,0,0,0
"hsa-let-7e-3p",2438.43103087359,1856.21543640298,758.040396661866,2660.14892286705
"hsa-let-7e-5p",1731.22945579424,1731.18538110123,2563.55479598376,4092.53680441084
"hsa-let-7f-1-3p",0,0,0,0
"hsa-let-7f-2-3p",1272.96283514283,1452.2721808127,1398.92909565781,1307.33814585346
"hsa-let-7f-5p",0,0,0,0
"hsa-let-7g-3p",0,0,6.89127633328969,11.3681577900301
"hsa-let-7g-5p",0,0,0,0
"hsa-let-7i-3p",1125.86490752632,1192.59437364751,833.844436328052,1511.96498607401
"hsa-let-7i-5p",147.097927616504,153.883144986776,110.260421332635,102.313420110271
"hsa-miR-1-3p",413.005719846339,269.295503726857,620.214869996072,500.198942761325
"hsa-miR-1-5p",435.636170248878,490.502524645347,441.04168533054,352.412891490934
"hsa-miR-100-3p",1063.63116891934,904.063476797307,1908.88354432124,1193.65656795316
"hsa-miR-100-5p",2704.33882310343,2529.45419572012,1777.94929398874,3285.39760131871
"hsa-miR-101-2-5p",0,0,6.89127633328969,34.1044733700904
"hsa-miR-101-3p",39195.9400971978,22091.849002164,78133.2910668385,37344.398340249
"hsa-miR-101-5p",0,0,0,0
"hsa-miR-10226",0,0,0,0
"hsa-miR-10392-3p",0,0,0,0
"hsa-miR-10392-5p",0,0,13.7825526665794,0
"hsa-miR-10393-3p",0,0,0,0
"hsa-miR-10393-5p",0,9.61769656167348,0,11.3681577900301
"hsa-miR-10394-3p",0,0,0,11.3681577900301
"hsa-miR-10394-5p",0,0,0,0
"hsa-miR-10395-3p",0,0,0,0
"hsa-miR-10395-5p",5.65761260063478,28.8530896850204,0,11.3681577900301
"hsa-miR-10396a-3p",0,0,0,0
"hsa-miR-10396a-5p",0,0,0,0
"hsa-miR-10396b-3p",0,0,0,0
"hsa-miR-10396b-5p",0,0,0,0
"hsa-miR-10397-3p",0,9.61769656167348,0,0
"hsa-miR-10397-5p",0,0,0,0
"hsa-miR-10398-3p",5.65761260063478,0,0,0
"hsa-miR-10398-5p",927.848466504105,865.592690550613,1626.34121465637,1068.60683226283
"hsa-miR-10399-3p",0,0,0,0
"hsa-miR-10399-5p",322.483918236183,125.030055301755,392.802750997512,2603.3081339169
"hsa-miR-103a-1-5p",0,0,0,0
"hsa-miR-103a-2-5p",141.44031501587,211.589324356817,434.15040899725,397.885522651054
"hsa-miR-103a-3p",0,0,0,0
"hsa-miR-103b",0,0,0,0
"hsa-miR-10400-3p",0,0,0,0
"hsa-miR-10400-5p",0,0,0,0
"hsa-miR-10401-3p",0,0,0,0
"hsa-miR-10401-5p",0,0,0,0
"hsa-miR-105-3p",0,0,0,0
"hsa-miR-105-5p",0,0,0,0
"hsa-miR-10522-5p",0,0,0,0
"hsa-miR-10523-5p",5.65761260063478,19.235393123347,55.1302106663175,11.3681577900301
"hsa-miR-10524-5p",0,0,0,0
"hsa-miR-10525-3p",0,9.61769656167348,0,0
"hsa-miR-10526-3p",0,0,0,0
"hsa-miR-10527-5p",0,0,0,0
"hsa-miR-106a-3p",0,19.235393123347,0,11.3681577900301
"hsa-miR-106a-5p",0,0,0,0
"hsa-miR-106b-3p",16.9728378019044,0,0,0
"hsa-miR-106b-5p",0,0,0,0
"hsa-miR-107",181.043603220313,192.35393123347,310.107434998036,500.198942761325
"hsa-miR-10a-3p",0,0,0,0
"hsa-miR-10a-5p",0,0,0,0
"hsa-miR-10b-3p",0,0,0,0
"hsa-miR-10b-5p",0,0,0,0
"hsa-miR-11181-3p",0,0,0,11.3681577900301
"hsa-miR-11181-5p",0,0,0,0
"hsa-miR-11399",0,0,0,0
"hsa-miR-11400",0,0,0,0
"hsa-miR-11401",0,0,0,0
"hsa-miR-1178-3p",1080.60400672124,1356.09521519596,2246.55608465244,3023.92997214801
"hsa-miR-1178-5p",135.782702415235,173.118538110123,165.390631998953,181.890524640482
"hsa-miR-1179",0,0,0,0
"hsa-miR-1180-3p",413.005719846339,346.237076220245,241.194671665139,647.984994031717
"hsa-miR-1180-5p",147.097927616504,163.500841548449,75.8040396661866,113.681577900301
"hsa-miR-1181",0,0,0,0
"hsa-miR-1182",0,0,0,0
"hsa-miR-1183",0,0,0,22.7363155800602
"hsa-miR-1184",16.9728378019044,9.61769656167348,20.6738289998691,0
"hsa-miR-1185-1-3p",0,0,0,0
"hsa-miR-1185-2-3p",0,0,13.7825526665794,0
"hsa-miR-1185-5p",0,0,0,0
"hsa-miR-1193",0,9.61769656167348,13.7825526665794,0
"hsa-miR-1197",0,0,0,0
"hsa-miR-1199-3p",0,0,0,11.3681577900301
"hsa-miR-1199-5p",0,0,13.7825526665794,0
"hsa-miR-1200",0,0,0,0
"hsa-miR-1202",0,0,0,0
"hsa-miR-1203",0,0,0,0
"hsa-miR-1204",84.8641890095218,67.3238759317144,6.89127633328969,125.049735690331
"hsa-miR-1205",661.94067427427,634.76797307045,254.977224331718,989.029727732621
"hsa-miR-1206",0,0,0,0
"hsa-miR-1207-3p",0,0,0,0
"hsa-miR-1207-5p",0,0,6.89127633328969,11.3681577900301
"hsa-miR-1208",0,0,0,0
"hsa-miR-12113",0,0,6.89127633328969,11.3681577900301
"hsa-miR-12114",0,0,0,0
"hsa-miR-12115",2523.29521988311,2087.04015388315,1343.79888499149,1875.74603535497
"hsa-miR-12116",0,0,0,0
"hsa-miR-12117",0,0,0,0
"hsa-miR-12118",0,0,0,0
"hsa-miR-12119",13029.4818192619,15465.256071171,1261.10356899201,3353.60654805889
"hsa-miR-12120",0,9.61769656167348,0,0
"hsa-miR-12121",0,0,0,0
"hsa-miR-12122",4916.46534995163,7194.03702813176,4617.15514330409,8730.74518274314
"hsa-miR-12123",0,0,0,0
"hsa-miR-12124",0,0,41.3476579997381,22.7363155800602
"hsa-miR-12125",2845.7791381193,2866.0735753787,1247.32101632543,1716.59182629455
"hsa-miR-12126",0,0,13.7825526665794,0
"hsa-miR-12127",0,0,0,0
"hsa-miR-12128",33.9456756038087,19.235393123347,103.369144999345,45.4726311601205
"hsa-miR-12129",2336.59400406217,2442.89492666506,2501.53330898416,4047.06417325072
"hsa-miR-12130",0,0,0,0
"hsa-miR-12131",0,0,0,0
"hsa-miR-12132",0,0,0,0
"hsa-miR-12133",0,0,6.89127633328969,181.890524640482
"hsa-miR-12135",0,0,0,0
"hsa-miR-12136",0,0,0,0
"hsa-miR-122-3p",0,0,0,0
"hsa-miR-122-5p",0,0,0,0
"hsa-miR-1224-3p",0,0,0,0
"hsa-miR-1224-5p",0,0,0,11.3681577900301
"hsa-miR-1225-3p",0,0,0,0
"hsa-miR-1225-5p",0,0,0,0
