"","gene_id","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105154.count","SRR2105158.count","SRR2105187.count","SRR2105188.count","SRR2105192.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105228.count","SRR2105230.count","SRR2105272.count","SRR2105275.count","SRR2105276.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105376.count","SRR2105429.count","SRR2105430.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105477.count","SRR2105478.count","SRR2105488.count","SRR2105491.count","SRR2105492.count"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",0,0,22.1813100281703,0,0,0,0,0,0,0,0,0,0,0,0,32.9804425975397,0,13.7534555557084,0,15.4664686958674,0,0,0,27.1193795085968,0,0,0,0,0,0,0,39.3933425251133,0,0,0,0,0,0
"3","hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1193795085968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4902212987698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","hsa-let-7e-3p",5355.59103494271,22771.529626833,22247.8539582548,6655.65607513496,21309.8991525234,11843.137254902,16678.6723555162,7253.20954522376,17371.6334457297,12780.2591429709,14026.929660952,5363.06541528474,2653.57043843321,7696.68141286108,13519.6825508305,13027.2748260282,17032.3145196575,15321.3494890591,21402.5802183262,22952.2395446672,19327.4250333859,22412.4633657257,19138.5353255857,22400.607474101,7505.00736021622,25814.1382049245,23863.3416089228,19970.2921274138,20471.517513754,29925.9023185404,33804.9713193117,8351.38861532401,8552.40651561801,27119.4832669412,28586.874826936,7348.47229128681,15817.809328696,14115.7979053002
"11","hsa-let-7e-5p",949.859542046442,794.817788022096,931.615021183151,714.866763625607,268.330314617294,392.156862745098,424.816682366414,471.458620439544,725.596482991165,928.669349489232,664.299036766397,870.322019147084,514.871876113906,845.94156069284,1123.71387435474,989.41327792619,406.275392212013,880.221155565336,595.434998346014,680.524622618164,437.052324875562,509.023600185099,737.871241468364,813.581385257905,796.351263302686,613.762726550653,574.350613258236,453.87027562304,724.350240587759,541.789498844714,420.650095602294,945.440220602718,894.713297018499,652.668062025972,303.274041060668,801.149234764352,595.550050026204,513.851315610501
"12","hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","hsa-let-7f-2-3p",464.824882278046,675.595119818782,643.257990816938,394.409248896887,335.412893271617,627.450980392157,350.935520215733,290.12838180895,469.503606641342,486.445849732455,996.448555149595,564.53320160892,752.505049704939,568.583671941089,772.553288618886,758.550179743412,500.031251953247,728.933144452544,926.232219649355,897.055184360307,461.33300959087,478.173685022366,922.339051835455,596.626349189131,675.691980984097,433.244277565167,444.658539296698,412.609341475491,448.407291792422,717.074336706239,675.589547482473,906.046878077605,1131.54916975869,562.644881056872,408.760664038292,1049.78175589812,214.398018009434,362.718575725059
"14","hsa-let-7f-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","hsa-let-7g-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,13.8678944375875,0,0,0,0,0,0,0,15.4249575813667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","hsa-let-7g-5p",0,0,0,0,22.3608595514412,0,0,0,0,0,0,0,0,13.8678944375875,0,0,0,0,0,15.4664686958674,24.280684715309,0,0,54.2387590171937,0,36.1036897970973,0,0,0,15.9349852601386,12.7469725940089,0,0,0,0,0,0,15.1132739885441
"17","hsa-let-7i-3p",101.048887451749,357.668004609943,354.900960450724,123.252890280277,201.24773596297,313.725490196078,313.994939140393,132.975508329102,277.433949378975,398.001149781099,408.79940724086,258.744384070755,217.830409125114,152.546838813463,386.276644309443,230.863098182778,406.275392212013,495.124400005501,496.195831955012,479.460529571888,558.455748452106,416.4738546969,368.935620734182,569.506969680534,217.18670817346,144.414759188389,203.801830510987,412.609341475491,362.175120293879,1195.1238945104,943.27597195666,118.18002757534,52.6301939422647,202.552157180474,224.15907382745,138.129178407647,190.576016008385,332.492027747971
"18","hsa-let-7i-5p",20.2097774903498,0,22.1813100281703,0,0,0,36.9405810753403,0,0,0,0,0,0,0,0,0,0,0,33.0797221303341,15.4664686958674,24.280684715309,0,0,54.2387590171937,24.1318564637178,0,0,0,17.2464342997085,0,12.7469725940089,0,0,0,0,0,0,15.1132739885441
"19","hsa-miR-1-3p",161.678219922799,119.222668203314,199.631790253532,49.3011561121108,89.4434382057646,313.725490196078,92.3514526883508,96.7094606029835,106.70536514576,398.001149781099,255.499629525537,141.13330040223,336.646995920631,124.811049938288,245.8124100151,197.882655585238,156.25976623539,178.794922224209,198.478332782005,170.131155654541,242.80684715309,231.3743637205,415.052573325955,244.074415577372,120.659282318589,288.829518376778,148.219513098899,82.5218682950982,189.710777296794,143.414867341248,216.698534098152,236.36005515068,315.781163653588,247.563747665024,145.044106594233,221.006685452235,47.6440040020963,105.792917919809
"20","hsa-miR-1-5p",586.083547220145,556.372451615467,665.439300845108,221.855202504499,290.691174168735,588.235294117647,313.994939140393,145.064190904475,298.775022408127,265.334099854066,229.949666572983,470.4443346741,138.619351261436,194.150522126226,140.464234294343,280.333762079087,843.802737671104,756.440055563961,297.717499173007,185.597624350408,339.929586014326,215.949406139133,276.701715550636,352.551933611759,96.527425854871,144.414759188389,166.746952236262,330.087473180393,258.696514495628,493.984543064298,611.854684512428,1418.16033090408,1342.06994552775,45.0115904845498,65.9291393610148,469.639206585999,285.864024012578,211.585835839618
