"","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105163.count","SRR2105164.count","SRR2105165.count","SRR2105166.count","SRR2105167.count","SRR2105168.count","SRR2105169.count","SRR2105170.count","SRR2105171.count","SRR2105172.count","SRR2105173.count","SRR2105174.count","SRR2105207.count","SRR2105208.count","SRR2105209.count","SRR2105210.count","SRR2105211.count","SRR2105212.count","SRR2105213.count","SRR2105214.count","SRR2105215.count","SRR2105216.count","SRR2105217.count","SRR2105218.count","SRR2105219.count","SRR2105220.count","SRR2105221.count","SRR2105222.count","SRR2105239.count","SRR2105240.count","SRR2105241.count","SRR2105242.count","SRR2105243.count","SRR2105244.count","SRR2105245.count","SRR2105246.count","SRR2105247.count","SRR2105248.count","SRR2105249.count","SRR2105250.count","SRR2105251.count","SRR2105252.count","SRR2105253.count","SRR2105254.count","SRR2105287.count","SRR2105288.count","SRR2105289.count","SRR2105290.count","SRR2105291.count","SRR2105292.count","SRR2105293.count","SRR2105294.count","SRR2105295.count","SRR2105296.count","SRR2105297.count","SRR2105298.count","SRR2105299.count","SRR2105300.count","SRR2105301.count","SRR2105302.count","SRR2105335.count","SRR2105336.count","SRR2105337.count","SRR2105338.count","SRR2105339.count","SRR2105340.count","SRR2105341.count","SRR2105342.count","SRR2105343.count","SRR2105344.count","SRR2105345.count","SRR2105346.count","SRR2105347.count","SRR2105348.count","SRR2105349.count","SRR2105350.count","SRR2105385.count","SRR2105386.count","SRR2105387.count","SRR2105388.count","SRR2105389.count","SRR2105390.count","SRR2105391.count","SRR2105392.count","SRR2105393.count","SRR2105394.count","SRR2105395.count","SRR2105396.count","SRR2105397.count","SRR2105398.count","SRR2105399.count","SRR2105400.count","SRR2105449.count","SRR2105450.count","SRR2105499.count","SRR2105500.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6266734667857,0,16.7271632403861,0,41.8725399882757,0,0,0,0,0,0,0,23.1755081230156,0,0,43.7349661054013,0,0,19.6009251636677,0,33.8506846300966,0,0,0,21.8784868838471,28.7918922031556,0,0,0,0,20.0553527736553,0,0,0,0,0,49.1650141759124,0,22.8623685413809,0,0,0,0,0,24.9731538596009,0,52.891862586941,0,0,0,0,0,0,0,0,0,0,0,0,42.4862981688405,27.2955562834371,0,0,0,17.8826895565093,0,0,0,0
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8451573103023,0,0
"hsa-let-7b-3p",0,0,0,0,48.0584390618993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-3p",0,0,0,0,0,0,51.9939686996308,55.0191191439025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.648353477841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0709258256632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",6360.0782778865,4645.32605345427,8166.39020033176,5837.86652514263,2643.21414840446,1936.24557260921,6239.2762439557,4401.5295315122,2881.31436978911,3263.52233384415,2134.47171824973,1890.78808047194,4608.03276823302,6932.70206290159,1430.69703559574,1751.52749490835,8143.56808927764,10745.0176111285,4894.94690865276,2356.637863315,3729.16909451113,2049.03799402653,3209.15911357821,2487.92270531401,3196.09739686278,1261.97322961706,10012.7210800607,8535.73652782357,2502.96403635885,2382.84352660842,9843.65952518819,11730.2052785924,11111.1111111111,8530.85325259689,9557.40129707589,11473.0759567875,2353.23259846421,3837.58780195306,2373.4434437689,2695.41778975741,6529.91452991453,4233.72252024824,5454.17473748598,3128.69359660711,4440.29850746269,5674.4135534318,2143.01333916466,3562.97625549401,6821.01070450585,4586.61648829825,2755.32696546657,4146.70886718684,1069.61819281031,2039.24053139045,3527.17315635587,3194.25908504168,5268.91627317747,5053.74618963581,8505.01848917063,9330.2328251945,7872.98683479795,7921.86434559384,6409.67360669152,6528.23874701703,16346.7437987554,18562.9141277928,11200.8689158917,10619.6430619971,7970.38327526132,8802.01188843164,2095.62675784481,2427.85061329618,1623.008983166,4402.70719655277,1740.94707520891,3845.86569437854,4520.84461288576,4866.05135799857,3897.81159011928,3752.79225614296,2727.84187460871,2678.27251422832,6422.63288545648,4594.42332065906,13687.3704524337,15919.7155388697,1372.02442203471,1713.23679379971,5971.0873664362,4687.36561451793,2889.06827548116,3466.53564799651,9590.1051625239,7832.4291308878,1412.71442986882,1090.84406294707,1093.64319890636,1326.341764343,2211.24441307928,2159.9730003375
