"","gene_id","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,1,2
"3","hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"5","hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6","hsa-let-7c-3p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","hsa-let-7e-3p",297,321,421,274,224,478,210,167,1059,1022,342,203,3409,1353,1607,51,153,383,83,59,217
"11","hsa-let-7e-5p",102,84,104,93,312,728,418,262,215,222,65,55,262,365,405,55,41,113,109,64,129
"12","hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","hsa-let-7f-2-3p",526,448,523,411,498,862,873,654,281,307,438,334,180,214,127,67,41,227,74,32,61
"14","hsa-let-7f-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"15","hsa-let-7g-3p",0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
"16","hsa-let-7g-5p",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0
"17","hsa-let-7i-3p",42,45,80,51,58,143,78,48,271,311,92,64,51,63,51,12,8,12,21,11,9
"18","hsa-let-7i-5p",4,7,3,3,6,13,6,4,2,6,5,1,20,17,2,3,2,2,6,2,3
"19","hsa-miR-1-3p",180,150,191,141,222,368,287,187,86,68,158,95,93,104,54,21,16,70,34,25,31
"20","hsa-miR-1-5p",28,31,40,33,81,121,86,48,119,110,42,22,198,155,192,73,39,61,61,48,60
"21","hsa-miR-100-3p",53,64,71,65,245,308,182,95,151,186,54,45,217,267,178,64,41,31,82,23,52
"22","hsa-miR-100-5p",51,62,130,80,78,160,89,62,717,1040,200,152,90,104,127,14,10,25,22,6,9
"23","hsa-miR-101-2-5p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"24","hsa-miR-101-3p",5668,6251,9686,7921,5178,4011,2514,1874,16451,8438,7001,5637,429,174,108,213,62,154,69,54,105
"25","hsa-miR-101-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","hsa-miR-10226",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","hsa-miR-10392-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","hsa-miR-10393-5p",0,1,2,1,0,1,0,0,3,3,3,0,6,0,0,0,0,2,0,0,0
"31","hsa-miR-10394-3p",1,0,1,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0
"32","hsa-miR-10394-5p",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"33","hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","hsa-miR-10395-5p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"35","hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","hsa-miR-10396b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","hsa-miR-10397-3p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"40","hsa-miR-10397-5p",1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"41","hsa-miR-10398-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","hsa-miR-10398-5p",48,49,71,60,176,198,118,79,160,219,70,60,174,221,144,47,31,36,63,19,35
"43","hsa-miR-10399-3p",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","hsa-miR-10399-5p",3,4,4,7,2,12,8,1,3,0,1,2,8,13,29,8,3,1,0,0,3
"45","hsa-miR-103a-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","hsa-miR-103a-2-5p",14,12,17,13,40,63,32,31,28,12,4,10,65,70,34,4,15,13,11,18,18
"47","hsa-miR-103a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","hsa-miR-103b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","hsa-miR-10400-3p",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"50","hsa-miR-10400-5p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
"51","hsa-miR-10401-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","hsa-miR-10401-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","hsa-miR-105-5p",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","hsa-miR-10522-5p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","hsa-miR-10523-5p",1,1,4,0,1,1,1,0,0,0,0,1,3,1,1,0,1,0,0,0,0
"57","hsa-miR-10524-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","hsa-miR-10525-3p",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"59","hsa-miR-10526-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"61","hsa-miR-106a-3p",0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"62","hsa-miR-106a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"63","hsa-miR-106b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","hsa-miR-106b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","hsa-miR-107",51,43,90,49,52,69,76,40,16,22,11,22,35,31,1,9,8,26,12,3,7
"66","hsa-miR-10a-3p",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"67","hsa-miR-10a-5p",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","hsa-miR-10b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"70","hsa-miR-11181-3p",1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0
