"","gene_id","SRR8185859.count","SRR8185860.count","SRR8185861.count","SRR8185862.count","SRR8185863.count","SRR8185864.count","SRR8185865.count","SRR8185866.count","SRR8185871.count","SRR8185872.count","SRR8185873.count","SRR8185874.count","SRR8185875.count","SRR8185876.count","SRR8185878.count","SRR8185891.count","SRR8185892.count","SRR8185896.count","SRR8185897.count","SRR8185898.count","SRR8185899.count","SRR8185902.count","SRR8185905.count","SRR8185906.count","SRR8185907.count","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105165.count","SRR2105166.count","SRR2105207.count","SRR2105208.count","SRR2105239.count","SRR2105240.count","SRR2105247.count","SRR2105335.count","SRR2105336.count","SRR8992369.count","SRR8992370.count","SRR8992371.count"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3","hsa-let-7a-5p",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","hsa-let-7c-3p",0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
"7","hsa-let-7c-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","hsa-let-7d-3p",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7d-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","hsa-let-7e-3p",48,97,106,101,93,112,116,148,305,226,709,693,794,716,411,83,123,499,512,565,632,3243,946,996,1135,91,212,128,264,120,160,108,724,118,510,191,361,1106,34,24,2
"11","hsa-let-7e-5p",16,16,14,21,19,20,14,16,124,151,103,97,98,116,117,25,31,249,211,231,222,244,286,315,316,12,37,10,36,16,27,10,51,13,58,20,17,32,15,18,17
"12","hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","hsa-let-7f-2-3p",155,149,137,171,125,122,120,147,306,324,1048,1028,1114,1057,190,50,57,949,932,1026,1036,555,1047,1279,1194,13,31,8,22,17,28,11,54,4,45,12,22,35,9,14,9
"14","hsa-let-7f-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","hsa-let-7g-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","hsa-let-7g-5p",0,0,0,0,0,0,4,0,2,0,4,2,0,8,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"17","hsa-let-7i-3p",5,5,5,6,6,2,4,3,151,139,29,30,26,27,27,8,5,31,20,20,22,59,49,76,50,8,26,4,8,8,18,2,22,3,17,5,6,20,2,1,1
"18","hsa-let-7i-5p",1,0,0,0,0,0,0,0,1,2,1,2,2,0,4,0,0,2,4,6,5,12,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
"19","hsa-miR-1-3p",46,47,38,34,40,28,39,41,55,80,240,245,283,269,53,19,15,324,312,325,323,168,340,394,370,2,4,2,8,3,7,2,20,1,19,4,11,15,4,6,2
"20","hsa-miR-1-5p",4,10,9,10,1,5,5,5,36,40,19,17,11,19,57,8,9,28,26,37,25,95,50,49,57,7,13,18,61,19,48,18,59,9,59,8,4,12,2,1,1
"21","hsa-miR-100-3p",8,4,8,3,4,5,3,3,33,46,36,42,42,42,43,4,4,33,38,35,29,76,84,75,78,4,14,3,5,3,7,5,16,4,15,6,3,9,8,5,2
"22","hsa-miR-100-5p",5,4,6,3,0,5,3,3,209,223,18,36,12,15,12,7,7,44,32,36,51,33,49,58,54,11,46,13,27,11,27,5,21,5,26,22,24,44,4,2,0
"23","hsa-miR-101-2-5p",0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","hsa-miR-101-3p",2589,2563,2563,2570,819,765,809,805,19902,20351,12185,12134,12286,12402,23008,2771,3060,15170,14648,15198,15162,29247,12490,14280,14370,8335,27432,9677,28830,10636,20590,8156,39269,6469,36915,19826,10989,28606,7390,12189,3865
"25","hsa-miR-101-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","hsa-miR-10226",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"27","hsa-miR-10392-3p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","hsa-miR-10392-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","hsa-miR-10393-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","hsa-miR-10393-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","hsa-miR-10394-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","hsa-miR-10394-5p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"33","hsa-miR-10395-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","hsa-miR-10395-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"35","hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","hsa-miR-10396a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","hsa-miR-10396b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
