"","gene_id","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105165.count","SRR2105166.count","SRR2105207.count","SRR2105208.count","SRR2105239.count","SRR2105240.count","SRR2105247.count","SRR2105335.count","SRR2105336.count","SRR8185859.count","SRR8185860.count","SRR8185861.count","SRR8185862.count","SRR8185863.count","SRR8185864.count","SRR8185865.count","SRR8185866.count","SRR8185871.count","SRR8185872.count","SRR8185873.count","SRR8185874.count","SRR8185875.count","SRR8185876.count","SRR8185878.count","SRR8185891.count","SRR8185892.count","SRR8185896.count","SRR8185897.count","SRR8185898.count","SRR8185899.count","SRR8185902.count","SRR8185905.count","SRR8185906.count","SRR8185907.count","SRR8992369.count","SRR8992370.count","SRR8992371.count"
"1","hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","hsa-let-7a-3p",0,0,0,0,0,0,0,0,0,16.683071687159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.95547309833,0,0,0,0,0,0,0,41.477425910948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6763945634954,0,0,0,0,0,12.8231432088634,0,0,0
"5","hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","hsa-let-7c-3p",0,0,0,0,51.8268981601451,54.9178977428744,0,0,0,0,0,0,16.608260948996,0,0,0,0,0,157.604412923562,0,0,0,0,20.738712955474,20.3898540086453,38.9476349048704,19.8898104501064,0,0,0,0,0,15.0416654131945,0,0,0,0,0,0,0,0
"7","hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.663263625885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.403161368769,0,0,0,0,0,20.738712955474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.701580684384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","hsa-let-7e-3p",6316.81243926142,4635.196886547,8132.66408285151,5809.47560680413,6219.22777921741,4393.43181942995,8107.4994369792,10715.2900084361,11098.5703536494,8508.36656045111,6509.66224736717,15900.982249042,18368.7366095896,5973.8643434972,11655.8519586638,12291.280148423,11355.9703170677,16154.2470036477,17651.6942474389,19100.9385806027,21040.6596531134,4948.72793354102,3556.81460497325,14703.7474854311,14130.1688279912,15462.2110572335,14241.1042822762,7508.63218663792,10147.9398459469,13282.9373650108,7890.20128709897,8538.31401650963,8498.54095845492,9602.67416242498,26774.6569574479,13729.6450030478,13083.4001077147,14554.2675420599,2876.72391911329,1168.73630387144,282.326369282891
"11","hsa-let-7e-5p",832.986255726781,808.973041519995,635.364381472775,792.201219109654,829.230370562322,741.391619528804,750.694392312889,754.806340373259,1222.72385252069,967.618157855224,681.640025902321,748.79971809893,531.464350367873,1991.28811449907,1922.61475606825,1623.37662337662,2361.14234315269,3300.3300330033,3152.08825847124,2305.28569076239,2274.6659084447,2011.94184839045,2376.4557758892,2136.08743441382,1977.81583883859,1908.43411033865,2307.21801221234,2137.4938341524,3056.60838733341,3347.73218142549,3937.19463023576,3518.71925289752,3474.62471044794,3373.09124059865,2014.49777909876,4150.82290789817,4137.82232322304,4052.11325400082,1269.14290549116,876.552227903579,2399.77413890457
"12","hsa-let-7f-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","hsa-let-7f-2-3p",902.401777037346,677.788223976212,508.29150517822,484.122967233677,881.057268722467,768.850568400242,825.763831544178,799.206713336392,376.222723852521,750.738225922157,408.984015541393,969.034929304497,581.289133214861,19290.6036092097,17904.3499158856,15885.8998144712,19226.4447942433,21712.697585548,19227.7383766745,19759.5916351062,20898.4930338357,4964.95327102804,5099.15014164306,21734.1711773367,20960.7699208874,21693.8326420128,21023.5296457625,3471.14383323894,6113.21677466683,6155.50755939525,15005.6132694527,15542.3997331777,15432.7487139376,15741.092456127,4582.15683360579,15195.4950509419,16800.8722266738,15310.8329913828,761.485743294695,681.762843925006,1270.46866177301
"14","hsa-let-7f-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.326844508532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","hsa-let-7g-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8231432088634,0,0,0
"16","hsa-let-7g-5p",0,0,127.072876294555,0,0,27.4589488714372,75.0694392312889,0,0,0,0,0,0,0,0,0,0,0,0,658.65305450354,0,32.4506749740395,0,82.9548518218959,40.7797080172906,0,159.118483600851,0,0,0,0,16.6763945634954,0,0,74.3052459503641,0,0,0,0,0,0
"17","hsa-let-7i-3p",555.32417048452,568.467542689726,254.14575258911,176.044715357701,414.615185281161,494.26107968587,150.138878462578,325.602735062975,282.16704288939,283.612218681704,170.41000647558,264.282253446681,332.165218979921,622.277535780958,600.817111271329,579.777365491651,674.612098043625,1042.20948410631,315.208825847124,658.65305450354,426.499857833381,2450.02596053998,2187.59836323576,601.422675708745,611.695620259359,506.319253763315,537.024882152873,493.267807881323,978.114683946693,539.956803455724,490.172825451038,333.527891269907,300.833308263891,334.270303122389,487.112167896831,711.154973730806,998.331735126828,641.157160443168,169.219054065488,48.6973459946433,141.163184641445
"18","hsa-let-7i-5p",0,0,0,0,0,0,0,0,0,0,0,0,49.8247828469881,124.455507156192,0,0,0,0,0,0,0,16.2253374870197,31.4762354422411,20.738712955474,40.7797080172906,38.9476349048704,0,73.0767122787146,0,0,31.6240532549057,66.7055782539815,90.2499924791673,75.9705234369065,99.0736612671521,72.5668340541639,65.6797194162387,102.585145670907,0,97.3946919892866,0
"19","hsa-miR-1-3p",138.83104262113,87.4565450291886,127.072876294555,176.044715357701,155.480694480435,192.21264210006,150.138878462578,296.002486420886,94.0556809631302,316.978362056022,136.328005180464,484.517464652249,249.12391423494,5724.95332918482,5647.68084595049,4406.30797773655,3822.80188891387,6948.06322737537,4412.92356185973,6421.86728140952,5828.83139038954,892.393561786085,1259.04941768964,4977.29110931376,4995.5142321181,5511.09033903916,5350.35901107862,968.266437692968,2323.0223743734,1619.87041036717,5123.09662729472,5203.03510381056,4888.54125928823,4907.69581402416,1387.03125774013,4934.54471568314,5175.56188999961,4744.56298727944,338.438108130976,292.18407596786,282.326369282891
"20","hsa-miR-1-5p",485.908649173955,284.233771344863,1143.65588665099,1342.34095460247,984.711065042757,1318.02954582899,1351.2499061632,873.207334941613,846.501128668172,984.301229542383,272.656010360928,176.188168964454,199.299131387952,497.822028624767,1201.63422254266,1043.59925788497,1124.35349673938,173.701580684384,788.022064617809,823.316318129425,710.833096388968,584.11214953271,629.524708844822,394.035546154006,346.62751814697,214.211991976787,377.906398552022,1041.34314997168,978.114683946693,971.922246220302,442.73674556868,433.58625865088,556.541620288198,379.852617184532,784.333151698288,725.668340541639,643.661250279139,730.919162905211,169.219054065488,48.6973459946433,141.163184641445
"21","hsa-miR-100-3p",277.66208524226,306.09790760216,190.609314441832,110.027947098563,155.480694480435,192.21264210006,375.347196156445,236.801989136709,376.222723852521,250.246075307386,204.492007770696,132.141126723341,149.474348540964,995.644057249533,480.653689017063,927.643784786642,337.306049021812,694.806322737537,788.022064617809,493.989790877655,426.499857833381,535.436137071651,723.953415171546,746.593666397063,856.373868363103,817.900333002278,835.372038904469,785.574656996182,489.057341973346,431.965442764579,521.796878705944,633.702993412824,526.458289461809,440.629035934058,627.46652135863,1219.12281210995,985.19579124358,1000.20517029134,676.876216261951,243.486729973216,282.326369282891
