"gene_id","SRR2105143.count","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105187.count","SRR2105188.count","SRR2105193.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105275.count","SRR2105276.count","SRR2105277.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105375.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105487.count","SRR2105488.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,0,22.0857811740801,0,0,0,0,0,0,0,32.9142255282733,0,0,13.733434045183,0,15.2902860812526,0,0,0,27.0423754022553,0,0,0,0,0,39.2387679026879,0,0,0
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0423754022553,0,0,0,0,0,0,0,0,0
"hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,16.4571127641367,0,0,0,0,0,0,0,0,0,39.9090074629844,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",5340.25770417912,5341.77266221855,22690.3734209797,22152.0385176024,11793.1896282412,16606.2857458116,14111.5799343647,17312.5186098941,12730.716708515,13967.688589238,13504.9810579486,13001.119083668,7567.51857893783,16605.2812285411,15038.1102794754,21457.8106430741,23225.9445574227,19034.7032184632,22094.46338741,19078.7054063994,22337.0020822629,6904.2582910963,19799.550010227,20302.0507294713,29542.7016312983,33423.6220472441,8318.61879536982,8514.5402148284,8367.65092438447,7306.88935281837
