"gene_id","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105163.count","SRR2105165.count","SRR2105166.count","SRR2105167.count","SRR2105207.count","SRR2105208.count","SRR2105209.count","SRR2105210.count","SRR2105211.count","SRR2105212.count","SRR2105213.count","SRR2105214.count","SRR2105215.count","SRR2105216.count","SRR2105217.count","SRR2105218.count","SRR2105219.count","SRR2105220.count","SRR2105221.count","SRR2105222.count","SRR2105239.count","SRR2105240.count","SRR2105241.count","SRR2105242.count","SRR2105243.count","SRR2105244.count","SRR2105245.count","SRR2105246.count","SRR2105247.count","SRR2105248.count","SRR2105249.count","SRR2105250.count","SRR2105251.count","SRR2105252.count","SRR2105253.count","SRR2105254.count","SRR2105287.count","SRR2105288.count","SRR2105289.count","SRR2105290.count","SRR2105291.count","SRR2105292.count","SRR2105293.count","SRR2105294.count","SRR2105295.count","SRR2105296.count","SRR2105297.count","SRR2105298.count","SRR2105299.count","SRR2105300.count","SRR2105335.count","SRR2105336.count","SRR2105337.count","SRR2105338.count","SRR2105339.count","SRR2105340.count","SRR2105341.count","SRR2105342.count","SRR2105343.count","SRR2105344.count","SRR2105345.count","SRR2105346.count","SRR2105347.count","SRR2105348.count","SRR2105349.count","SRR2105350.count","SRR2105385.count","SRR2105386.count","SRR2105387.count","SRR2105388.count","SRR2105389.count","SRR2105390.count","SRR2105391.count","SRR2105392.count","SRR2105393.count","SRR2105394.count","SRR2105395.count","SRR2105396.count","SRR2105397.count","SRR2105398.count","SRR2105399.count","SRR2105400.count","SRR2105449.count","SRR2105450.count","SRR2105499.count","SRR2105500.count"
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3137410643368,0,16.683071687159,0,41.8200066912011,0,0,0,0,0,0,0,23.1460049995371,0,0,43.6910171268787,0,0,19.5564594985724,0,33.8009126246409,0,0,0,21.8412143715191,28.7405874576076,0,0,0,0,20.0268359601867,0,0,0,49.3599657770904,0,22.9985510912813,0,0,0,0,0,24.931438544004,0,52.7941292928226,0,0,0,0,0,0,0,0,0,0,0,0,42.4196148298973,27.2286663399227,0,0,0,17.8772547687577,0,0,0,0
"hsa-let-7a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8185404339251,0,0
"hsa-let-7b-3p",0,0,0,0,47.9984640491504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-3p",0,0,0,0,0,51.8268981601451,54.9178977428744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.608260948996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0182643466984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7e-3p",6316.81243926142,4635.196886547,8132.66408285151,5809.47560680413,2639.91552270327,6219.22777921741,4393.43181942995,2878.13839559094,8107.4994369792,10715.2900084361,4886.48323560367,2351.18093406006,3728.95181495077,2047.75787866167,3202.76996321143,2482.1071402752,3193.27731092437,1260.85159156676,9965.28486828671,8504.67119520679,2500.10965393219,2379.97296820826,9800.53038164418,11691.818903892,11098.5703536494,8508.36656045111,9548.70978742753,11458.6818333891,2351.19415913872,3833.7783254604,2367.97716361749,2691.37061589892,6509.66224736717,4218.0827372999,5450.00764019763,3124.71067493751,4428.89575347054,5660.12186865267,2140.85983921706,3560.93884022561,6802.72108843537,4576.21152266594,2751.78866263071,4140.61179651851,1068.67391506366,2038.1510210543,3524.06565890754,3210.6585126133,5259.5275047422,5062.63256893585,8467.44504049648,9315.61651664524,7860.14807083918,7910.60020427373,15900.982249042,18368.7366095896,11167.6849966056,10398.4994570404,7312.69431186233,8532.46245486534,2098.05653710247,2472.42297451502,1324.55343627006,4394.98784365065,1737.82077275097,3839.44153577661,4512.05014589863,4857.05989493968,3891.41544376201,3748.5496682831,2727.71989446854,2677.97366659228,6418.08087569398,4590.78676586988,13673.6879685826,15899.6268454924,1371.83620275739,1713.06209850107,5961.25186289121,4699.57081545064,2884.53380843302,3458.04062517018,9578.94422726866,7820.34725211651,1412.00201714574,1090.51254089422,1092.89617486339,1325.19723865878,2211.14038389161,2159.73003374578
